index,메뉴명,조리방법,요리종류,열량,탄수화물,단백질,지방,나트륨,이미지경로,재료정보,저감조리법TIP,만드는법,감정,재료
713,오징어보쌈과 저나트륨 된장소스,끓이기,반찬,46.2,1.8,8.1,0.7,192,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053526_1416213326629.jpg,갑오징어 50g  당근 9g  오이 9g  상추 7g [소스소개] 저나트륨된장소스:된장 1.6g  양파 1.3g  물 6.6g  식초 0.4g  설탕 0.2g  청고추 0.2g  홍고추 0.2g,된장은 보통 양의 1/5로 줄이고  분량을 늘리기 위해 양파  풋고추  홍고추를 잘게 다져서 넣는다.,1. 오징어는 반으로 갈라 껍질을 제거하고 몸통 안쪽에 대각선으로 칼집을 넣는다.||2. 칼집 낸 오징어를 끓는 물에 데친다.||3. 데친 오징어는 한 입 크기로 썬다.||4. 오이는 돌려 깎아 3cm 길이로 채썰고 당근도 4cm 길이로 얇게 채썬다.||5. 드레싱에 들어갈 양파  청·홍고추는 잘게 다져 분량의 재료와 섞어 저나트륨 된장소스를 만든다.||6. 상추에 준비된 오징어와 오이  당근  저나트륨 된장소스를 기호에 맞게 곁들여 먹는다.,0,갑오징어 당근 오이 상추 된장 양파 물 식초 설탕 청고추 홍고추
714,칠리새우,튀기기,반찬,192.6,16.3,10.7,8.9,159,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053527_1416213327815.jpg,백새우 40g  케첩 4g  대파 6g  녹말가루 3g  밀가루 6g  달걀 10g  완두콩 4g  식용유 5g  참기름 0.5g [소스소개] 저나트륨칠리소스:두반장 1g  고추기름 3g  설탕 6g  마늘 2g  생강 0.2g  청주 2g  식초 3g,저나트륨 칠리소스는 고추기름 등을 넣어 매운맛을 내 저나트륨의 맛을 보완할수 있다.,1. 새우는 손질하여 물기를 제거한다.||2. 달걀  녹말가루  밀가루로 튀김옷을 만들어 새우에 묻힌다.||3. 튀김옷을 입힌 새우를 170℃ 식용유에 두 번 튀겨낸다.||4. 대파  마늘  생강은 다진다.||5. 팬에 고추기름을 두르고 2를 넣고 볶다가 청주  두반장  케첩을 첨가하여 볶은 후 물을 넣고 설탕  식초로 간을 맞춘다.||6. 살짝 졸인 뒤 튀긴 새우와 완두콩을 넣고 물녹말로 농도를 맞추고 마지막으로 참기름을 넣는다.,0,새우 케첩 파 녹말가루 밀가루 달걀 완두콩 식용유 참기름 두반장 고추기름 설탕 마늘 생강 청주 식초
715,연근샐러드  흑임자소스,기타,반찬,28.76,3.82,0.69,1.19,4.9,http://www.foodsafetykorea.go.kr/uploadimg/20190418/20190418111813_1555553893882.jpg,흑임자 30g  연근 80g  레몬 20g  마요네즈 15g  플레인요거트 15g  식초 5g,소스의 흑임자가 나트륨 배출을 도와줘요.,1. 연근은 세척 후 껍질을 벗긴다.||2. 연근을 슬라이스 한다.||3. 물에 식초를 넣고 끓으면 연근을 데친다.||4. 레몬즙을 짠다.||5. 흑임자  마요네즈  플레인요거트를 믹서 하여 흑임자 소스를 만든다.||6. 연근에 흑임자소스를 곁들여 담는다.,0,흑임자 연근 레몬 마요네즈 플레인요거트 식초
716,단호박함박스테이크,굽기,반찬,323.8,36.5,17.5,12,311.5,http://www.foodsafetykorea.go.kr/uploadimg/20200313/20200313103624_1584063384791.JPG,돼지고기 30g  소고기 20g  단호박 20g  양파 10g  마늘 1g  당근 7g  계란20g  빵가루 5g  우유 50ml  콩기름 2g  소금 0.4g  후추 0.1g  올리고당 3g,나트륨 함량이 높은 시판 소스를 대신해 수제 단호박 소스를 곁들였어요.,1. 단호박은 쪄서 속을 파내고  우유와 올리고당을 넣고 끓여 소스를 만든다.||2. 소고기  돼지고기  양파  마늘  당근은 모두 잘게 다진다.||3. ②에 빵가루  달걀  소금  후추를 넣고 치댄다.||4. 치댄 반죽을 둥글고 납작하게 만들어 준다.||5. 팬에 기름을 두르고 노릇하게 굽는다.||6. 함박스테이크에 단호박 크림소스를 부어 제공한다.,0,돼지고기 소고기 단호박 양파 마늘 당근 계란 빵가루 우유 콩기름 소금 후추 올리고당
717,배깍두기,기타,반찬,65.06,13.74,0.96,0.42,6.56,http://www.foodsafetykorea.go.kr/uploadimg/20210128/20210128052841_1611822521024.JPG,배 80g  부추 5g  고춧가루 5g  매실청 3g  설탕 2g  참깨 1g,배를 소금에 절이지 않고 고춧가루와 매실청으로 버무렸어요.,1. 배는 껍질을 벗긴다.||2. 껍질 벗긴 배를 깍뚝썰기 한다.||3. 부추는 먹기 좋은 길이로 썬다.||4. 배와 부추에 고춧가루를 버무려 색이 베이도록 한다.||5. 매실청과 설탕을 넣어 새콤달콤하게 버무린다.||6. 참깨를 뿌려 완성한다.,0,배 부추 고춧가루 매실청 설탕 참깨
718,닭고기 찰깨빵,기타,일품,500.6,80.1,16.7,12.6,852.1,http://www.foodsafetykorea.go.kr/uploadimg/20210308/20210308050056_1615190456312.jpg,방울토마토(60g)  양파(70g)  파프리카(120g)  할라피뇨(10g)  훈제 닭가슴살(40g)  찰깨빵(45g)  모차렐라치즈(30g)  파슬리가루(약간)  설탕(1g)  소금(0.5g)  레몬즙(15㎖)  후춧가루(0.5g),담백한 닭고기와 알싸하고 새콤한 살사소스로 맛을 내 나트륨의 사용을 줄였어요.,1. 방울토마토  양파  파프리카  할라피뇨  훈제 닭가슴살은 작게 깍둑썬다.||2. 손질한 재료에 양념을 고루 섞는다.||3. 찰깨빵의 윗부분 1cm를 도려낸다.||4. 빵 안에 버무린 재료를 채운 뒤 모차렐라치즈를 올린다.||5. 180℃로 예열한 오븐에 속을 채운 빵을 넣고 5분간 구워 꺼낸다.||6. 그릇에 구운 빵을 올린 뒤 파슬리가루를 뿌린다.,0,방울토마토 양파 파프리카 할라피뇨 훈제 닭가슴살 찰깨빵 모짜렐라치즈 파슬리가루 설탕 소금 레몬즙 후추
719,레몬연어 파피요트,찌기,일품,431.7,8.3,33.3,29.5,121.1,https://www.foodsafetykorea.go.kr/common/ecmFileView.do?ecm_file_no=1NxK4VJe-xN,[ 2인분 ] 브로콜리(¼개)  애호박(½개)  레몬(½개)  양파(½개)  노랑 파프리카(¼개)  방울토마토(5개)  마늘(8쪽)  연어 필레(270g)  로즈메리(3줄기)  레몬즙(3.5Ts)  올리브유(8Ts)  소금(약간)  후춧가루(약간)  다진 양파(½컵),레몬즙으로 간을 맞춰 나트륨의 사용을 줄였어요. 과일과 채소 본연의 맛을 살리고 첨가당 사용을 줄였어요.,1. 브로콜리는 송이만 떼어내고  애호박과 레몬은 4mm 두께로 둥글게 썰고  양파와 노랑 파프리카는 한입 크기로 썰고  방울토마토는 4등분하고  마늘은 꼭지를 제거한다.||2. 볼에 레몬즙을 넣고 올리브유를 조금씩 부어가며 거품기로 골고루 섞는다.||3. 올리브유를 섞은 레몬즙에 소금  후춧가루  다진 양파를 넣고 고루 섞어 레몬소스를 만든 뒤 연어에 버무려 15분간 재운다.||4. 종이포일에 애호박  연어  레몬  로즈메리 순으로 깔고  손질한 채소를 올린다.||5. 올리브유(1Ts)를 뿌리고 종이포일 양끝을 돌돌 만 뒤 작은 구멍을 2~3개 낸다.||6. 찜기에 김이 오르면 연어를 넣고  뚜껑을 덮어 센 불로 25분간 익혀 마무리한다.,0,브로콜리 애호박 레몬 양파 파프리카 방울토마토 마늘 연어 필레 로즈마리 올리브유 레몬즙 소금 후추
720,떡꼬치구이,굽기,기타,160.9,34.9,3.1,1,214,http://www.foodsafetykorea.go.kr/uploadimg/20230308/20230308054654_1678265214010.jpg,필수 재료 : 떡볶이떡(40g)  파(3.5g)  양파(7g)  식용유(3g) 양념장 : 케첩(8g)  스리라차(3g)  올리고당(2g)  다진마늘(2g)  간장(1g)  참기름(1g)  통깨(0.5g),고추장 대신 케첩과 스리라차를 활용하여 달콤 매콤한 맛은 살리고 나트륨 섭취는 줄였어요.,1. 떡볶이 떡은 끓는 물에 데쳐 건진다.||2. 꼬치에 데친 떡을 꽂는다.||3. 파와 양파는 다진다.||4. 양념장 재료에 다진 양파와 파를 섞어 양념장을 만든다.||5. 팬에 식용유를 두른 뒤 양념장을 볶는다.||6. 양념장을 떡꼬치에 묻힌 뒤 통깨를 뿌려 마무리한다.,0,떡볶이떡 파 양파 식용유 케첩 스리라차 올리고당 마늘 간장 참기름 통깨
721,아보카도 두부 샐러드,기타,반찬,246.2,8.5,11.6,38.7,362,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053530_1416213330214.jpg,연두부 50g  아보카도작은것 35g  게살냉동 50g  양파 25g  민트 0.25g[소스소개] 고추냉이 드레싱:고추냉이 갠것 6g  간장 1g  소금 0.2g  레몬즙 10g  올리브유엑스트라버전 30g,저나트륨 소스는 염분이 적게 들어가므로 고추냉이와 같은 강한 향의 향신료와 같이 사용하면 맛이 보완이 된다,1. 아보카도는 검은 빛이 돌면서 윤기가 흐르는 것을 골라 세로로 칼날을 넣어 칼날이 씨에 닿으면 한바퀴 돌린다.||2. 양손으로 아보카도 양 끝을 잡고 비틀면서 반으로 나누고 칼날 안쪽 모서리로 씨를 찔러서 빼낸다.||3. 아보카도 과육을 5cm 두께로 썬다.||4. 냉동 게살은 하룻밤 전에 냉장고로 옮겨 놓거나  실온에서 해동시킨 후 잘게 찢는다. 양파는 얇게 채썰고 민트도 잘게 썬다.||5. 고추냉이 드레싱 재료를 섞는다.||6. 두부는 원형틀로 찍어두고 양파와 게살  아보카도를 곁들이고 민트를 올린 뒤 드레싱을 뿌린다.,0,연두부 아보카도 게살 양파 민트 고추냉이 간장 소금 레몬즙 올리브유
722,과일 젤리,기타,후식,143.4,32.8,1.1,0.1,25.3,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053532_1416213332265.jpg,젤라틴 5g  자몽주스 100g  귤통조림 20g  파인애플통조림 5g  체리 15g  설탕 15g,,1. 젤라틴을 물에 불려 놓는다.||2. 자몽주스에 설탕을 넣고 가열한다.||3. 불린 젤라틴을 넣어 약한 불에서 젤라틴을 녹인다.||4. 틀에 귤과 파인애플  체리를 넣는다.||5. 틀에 젤라틴을 녹인 자몽주스를 넣는다.||6. 냉장고에서 식혀 완성한다.,0,젤라틴 자몽주스 귤 통조림 파인애플 통조림 체리 설탕
723,복숭아샤벳,기타,후식,92.8,24.3,1.6,0.3,7,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053534_1416213334638.jpg,복숭아 150g  식혜 100g  설탕시럽 20g  민트 0.1g,,1. 복숭아는 반으로 갈라 씨를 발라내고 두께 0.5cm가량만 남기고 속을 파낸다.||2. 복숭아와 식혜  설탕시럽을 넣고 믹서기에 굵게 간다.||3. 2를 냉동실에서 4~5시간 정도 얼리면서 1시간마다 숟가락으로 긁어 샤벳을 만든다.||4. 속을 파낸 복숭아도 냉동실에서 얼려 샤벳 그릇으로 사용한다.||5. 3의 복숭아 식혜 샤벳을 떠서 얼린 복숭아 그릇에 담는다.||6. 민트로 장식하여 완성한다.,0,복숭아 식혜 설탕시럽 민트
724,과일 주스 조림,기타,후식,182,39.4,1.5,0.5,7,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053536_1416213336433.jpg,천도복숭아 30g  자두 20g  체리 40g  산딸기 20g  블루베리 10g  사과 30g  포도 10g  포도주스 50g  설탕 20g,,1. 천도복숭아는 반으로 잘라 씨를 제거하고 각각 2등분하고 자두는 반으로 갈라 씨를 제거한다.||2. 사과는 8등분하여 씨를 제거한다.||3. 포도는 알알이 떼어내고 체리는 꼭지를 떼어내고 블루베리와 산딸기는 분량대로 준비한다.||4. 냄비에 포도주스와 설탕  준비한 과일을 넣고 약한불에서 끓인다.||5. 천도복숭아가 부드러워지고 포도주스에 농도가 생기면 불을 끈다.||6. 접시에 졸인 과일과 주스를 함께 담는다.,0,천도복숭아 자두 체리 산딸기 블루베리 사과 포도 포도주스 설탕
725,감자를 곁들인 야채스튜,끓이기,반찬,87,14.8,3.4,2.4,30,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053542_1416213342038.jpg,양파 15  청피망 15g  가지 10g  애호박 18g  양송이버섯 8g  마늘다진것 2g  토마토콩카세 10g  감자 50g  올리브오일 1g  닭육수 15g  토마토페이스트 8g  생크림 5g  우유 8g  소금적당량  후추 적당량,감자는 뜨거울 때 잘 으깨지므로 식기전에 작업한다. 토마토 콩카세는 껍질을 벗겨 씨를 제거하여 자른 것을 의미한다.,1. 마늘은 다지고  양파  청피망  가지  애호박  양송이는 1cm 주사위모양으로 썬다.||2. 토마토는 끓는 물에 데쳐 껍질을 벗긴 뒤 씨를 제거하고 야채들과 같은 크기로 자른다.||3. 감자는 껍질을 벗겨 큼직하게 썰어 삶은 뒤 완전히 익으면 오븐서 수분을 제거하고 으깨 우유  생크림  소금  후추를 넣는다.||4. 팬에 기름을 두르고 양파를 투명해질 때까지 볶은 뒤 마늘  토마토 페이스트를 넣고 볶다가 청피망  가지  호박  양송이  토마토를 넣어 볶는다.||5. 야채가 부드러워지면 닭육수를 넣어 한번 더 끓이고 소금  후추로 간 한다.||6. 접시에 완성된 으깬 감자를 깔고 그 위에 야채 스튜를 올려낸다.,0,양파 피망 가지 애호박 양송이버섯 마늘 토마토콩카세 감자 올리브유 닭육수 토마토페이스트 생크림 우유 소금 후추
726,김치 고구마밥,끓이기,밥,247.9,54,3.9,2.4,233,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053546_1416213346049.jpg,고구마 15g  쌀 40g  물 40g  김치 8g  사과작은것 95g  참기름 1g  마늘다진것 1g [소스1]간장 1g  국간장 1g  고춧가루 1g  다진마늘 1g  통깨 1g  실파송송썬것 1.5g  참기름 0.5g,야채와 같이 밥을하는 경우에 물의 양을 정확히 하여 재료에서 나오는 수분으로 인해 질지 않도록 하며 쌀과 물이 동량이 되도록 하는 것이 좋다.,1. 고구마는 1cm의 주사위모양으로 썰어 놓는다.||2. 물에 씻은 김치를 송송 썰어서 참기름을 두른 팬에 볶다가 마늘과 소금을 넣어 볶은 뒤 깨소긂으로 마무리한다.||3. 냄비에 불린 쌀과 고구마  볶은 김치를 넣고 고슬고슬하게 밥을 짓는다.||4. 사과의 꼭지 부분을 자른 뒤 속을 파내고 밥을 채운다.||5.  160℃로 예열된 오븐에 밥을 채운 사과를 넣고 사과가 익을 정도로 구워준다.||6. 양념장 재료를 섞어 양념장을 만들고 밥과 곁들여 낸다.,0,고구마 쌀 물 김치 사과 참기름 마늘 간장 국간장 고춧가루 마늘 통꺄 실파 참기름
727,돈불고기 파인애플볶음,볶기,반찬,113.18,5.65,9.03,6.05,187.59,http://www.foodsafetykorea.go.kr/uploadimg/20190409/20190409033235_1554791555920.jpg,돼지고기(불고기용) 120g  파인애플 35g  양배추 15g  양파 10g  당근 7g  대파 5g  설탕 5g  부추 1g  마늘 2g  참기름 3g  간장 5g,파인애플을 넣어 간장을 적게 사용해도 풍미를 낼 수 있어요.,1. 돼지고기를 흐르는 물에 담궈 핏물을 제거한다.||2. 파인애플 일부는 먹기 좋은 크기로 썰고 나머지는 믹서에 간다.||3. 간 파인애플과 양념을 섞어 양념장을 만든다.||4. 핏물을 제거한 돼지고기에 양념장을 섞어 재운다.||5. 프라이팬에 기름을 두르고 양념한 돼지고기와 한 입 크기로 썬 채소를 볶는다.||6. 썰어둔 파인애플을 넣는다.,0,돼지고기 불고기용 파인애플 양배추 양파 당근 대파 설탕 부추 마늘 참기름 간장
728,비름나물 된장무침,기타,반찬,60.3,4.5,3.4,3.2,130.4,http://www.foodsafetykorea.go.kr/uploadimg/20230309/20230309032656_1678343216209.jpg,필수 재료 : 비름나물(70g)  양파(10g)  마늘(3g)  생강(1g) 다시마 육수 : 물(200g)  다시마(5g) 양념장 :  된장(2g)  고추장(1g)  마요네즈(2g)  고춧가루(1g) 양념 : 참깨(1g)  참기름(4g),다시마육수에 비름나물을 데쳐 감칠맛을 살려 소금 사용을 줄였어요.,1. 비름나물을 적당한 길이로 잘라 다시마육수에 데친 뒤 찬물에 헹궈 물기를 뺀다.||2. 양파는 2mm 두께로 채 썰고 생강과 마늘은 곱게 다진다.||3. 된장을 곱게 다진 뒤 구멍이 큰 체에 걸러 식감을 살리고 고추장  마요네즈  고춧가루와 섞는다.||4. 양념장에 다진 생강  마늘을 섞는다.||5. 비름나물에 양파  양념장을 넣고 골고루 무친다.||6. 참기름을 둘러 가볍게 섞은 뒤 깨를 뿌려 마무리한다.,0,비름나물 양파 마늘 생강 물 다시마 된장 고추장 마요네즈 고춧가루 참깨 참기름
729,소고기 들깨 알토란탕,끓이기,국&찌개,146.42,17.4,7.57,5.17,675.68,http://www.foodsafetykorea.go.kr/uploadimg/20190409/20190409052034_1554798034902.jpg,소고기(양지) 3g  무 20g  알토란 30g  대파 15g  느타리버섯 10g  고사리 10g  콩나물 10g  고춧가루 10g  깻잎순 3g  들깨가루 15g  소금 3g  간장 3g,들깻가루를 이용해 소금을 사용하지 않고 깊은 맛을 낼 수 있어요.,1. 양지를 찬물에 담가 핏물을 제거한다.||2. 양지와 무를 냄비에 끓인 뒤 양지를 건진다.||3. 알토란은 쌀뜨물에 1시간 정도 담근 뒤 소금물에 삶아 아린 맛을 제거한다.||4. 각종 채소를 손질하고 건져낸 양지를 찢는다.||5. 육수에 손질한 야채와 양지를 넣고 끓인다.||6. 고춧가루와 들깨가루를 넣고 끓인다.,0,소고기 양지 무 알토란 대파 느타리버섯 고사리 콩나물 고춧가루 깻잎순 들깨가루 소금 간장
730,과일삼겹살조림&파채무침,찌기,반찬,205.5,15.9,16.3,8.5,186.9,http://www.foodsafetykorea.go.kr/uploadimg/20200313/20200313111944_1584065984038.JPG,돼지고기(삼겹살) 70.8g  새싹채소 2.8g  깐대파 3.5g  파인애플 1.5g  배 1.5g  사과 1.5g  깐양파 2g  진간장 1.2g  깐마늘 1.2g  깐생강 0.3g  고춧가루 0.17g  레몬 1g  식초 0.4g  설탕 0.1g  국간장 0.1g ,과일을 이용하여 간장과 설탕의 사용을 줄였어요.,1. 삼겹살은 덩어리로 준비하여 삶아낸다.||2. 배  사과  파인애플  양파  깐마늘  깐생강은 갈아서 체에 거르고 간장과 함께 끓인다.||3. ②에 삶아낸 삼겹살을 넣어 윤기 나게 조린다.||4. 대파는 가늘게 채 썰고  새싹채소는 깨끗하게 씻는다.||5. 레몬즙  식초  설탕  국간장  고춧가루를 넣어 만든 소스를 야채에 버무린다.||6. 한입 크기로 썬 삼겹살과 ⑤를 곁들여 낸다.,0,삼겹살 새싹채소 대파 파인애플 배 사과 양파 진간장 마늘 생강 고춧가루 레몬 식초 설탕 국간장
731,곤약백김치말이,기타,반찬,46.99,3.2,6.28,1.01,171.08,http://www.foodsafetykorea.go.kr/uploadimg/20210128/20210128053429_1611822869995.JPG,판곤약 60g  부추 2g  파프리카(빨강  노랑  청색) 각 7g  대왕오징어채 30g  백김치 30g  양조식초 3g,설탕  소금을 사용하지 않고 백김치와 파프리카의 단맛을 이용했어요,1. 곤약은 얇게 편으로 썰어 데친 뒤  백김치 국물에 절인다.||2. 끓는 물에 식초를 넣고 오징어를 질기지 않게 살짝 삶는다.||3. 파프리카는 채썰어 준다.||4. 백김치는 물기를 제거한다.||5. 곤약을 깔고 오징어  파프리카를 얹어 백김치로 말아준다.||6. 데쳐낸 부추로 풀어지지 않게 매듭을 짓는다.,0,판곤약 부추 파프리카 대왕 오징어채 백김치 양조식초
732,꽈리고추 닭강정,볶기,반찬,566.2,32.8,35.8,32.4,744,https://www.foodsafetykorea.go.kr/common/ecmFileView.do?ecm_file_no=1NxSkgr90FP,[ 2인분 ] 꽈리고추(2줌=100g)  양파(½개)  건고추(3개)  마늘(10쪽)  대파(1대)  닭다릿살(400g)  백후춧가루(0.3Ts)  식용유(8Ts)  참깨(0.3Ts)  전분(2Ts)  달걀흰자(1개)  굴소스(1.5Ts)  올리고당(1Ts)  다진 마늘(0.5Ts)  생강가루(0.5Ts)  후춧가루(0.25Ts),굴소스도 나트륨 함량이 높으므로 과량 사용하지 않도록 주의하세요. 건고추  마늘  대파로 만든 기름의 은은한 향으로 자극적이지 않은 맛을 냈어요. 양파를 이용하여 첨가당 사용을 줄였어요.,1. 꽈리고추  양파  건고추는 3cm 길이로 썰고  마늘은 2등분하고  대파는 송송 썬다.||2. 닭다릿살은 4×4cm 크기로 썰고  백후춧가루에 버무린 뒤 튀김옷 재료를 입힌다.||3. 약한 불로 달군 팬에 식용유를 두른 뒤 손질한 건고추  마늘  대파를 넣고 볶아 기름을 낸다.||4. 튀김옷을 입힌 닭다릿살을 넣어 노릇해 질 때까지 튀기듯 볶고  양파를 넣어 투명해질 때까지 볶는다.||5. 센 불로 올린 뒤 양념장을 넣어 재빠르게 볶고  꽈리고추를 넣어 10초간 볶아 꺼낸다.||6. 참깨를 뿌려 마무리한다.,0,꽈리고추 양파 건고추 마늘 대파 닭다리살 백후춧가루 식용유 참깨 전분 달걀 굴소스 올리고당 마늘 생강가루 후추
733,참치두부 주먹밥,기타,밥,299.7,20.9,24.7,13.1,248.3,https://www.foodsafetykorea.go.kr/common/ecmFileView.do?ecm_file_no=1NxSkgr9Ba2,[ 2인분 ] 두부(1모=300g)  파프리카(빨강  노랑 각 ¼개)  깻잎(4장)  잡곡밥(70g)  통조림 참치(50g)  스테비아(0.5Ts)  간장(0.5Ts)  참기름(1Ts),통조림 참치 등 가공식품 사용 시에는 물에 데치거나 뜨거운 물을 부으면 나트륨 섭취를 줄일 수 있어요. 스테비아를 이용하여 첨가당 사용을 줄였어요.,1. 큰 볼에 두부를 담은 뒤 물이 담긴 무거운 그릇을 3분간 올려 수분을 제거한다.||2. 두부 속을 사각형 모양으로 파내고  파낸 두부 속은 물기를 꼭 짜 으깬다.||3. 파프리카와 깻잎은 잘게 썬다.||4. 통조림 참치는 체에 밭친 뒤  뜨거운 물을 부어 기름과 염분을 제거한다.||5. 볼에 으깬 두부  손질한 채소  잡곡밥  참치를 넣은 뒤 양념해 고루 섞는다.||6. 주먹밥을 동그랗게 만들고  속을 판 두부 속에 넣어 마무리한다.,0,두부 파프리카 깻잎 잡곡밥 참치통조림 스테비아 간장 참기름
734,대구 크림스튜,끓이기,반찬,186,4.4,28.1,5.5,406,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053550_1416213350093.jpg,양파다진것 10g  청피망다진것 10g  마늘다진것 2g  청고추다진것 2g  대구살 35g  토마토콩카세 30g  땅콩버터 1g  생크림 13g  파프리카가루 1g  새우 20g  올리브오일 1g  소금적당량  후추적당량,새우는 지나치게 가열하면 질겨지므로 가장 나중에 넣어 익힌다.,1. 양파  청피망  마늘  고추는 다지고  대구살은 굵직하게 썬다.||2. 토마토는 데친 뒤 껍질을 벗기고 씨를 제거해 과육만 썬다.||3. 기름을 두른 팬에 양파  고추를 넣고 볶다가 마늘을 넣고 볶는다.||4. 생크림과 땅콩버터를 넣은 후 토마토  파프리카  새우 순서대로 넣어 끓인다.||5. 썰어둔 대구살을 넣는다.||6. 소금  후추로 간을 한다.,0,양파 피망 마늘 청고추 대구살 토마토콩카세 땅콩버터 생크림 파프리카가루 새우 올리브유 소금 후추
735,대추죽,끓이기,일품,132,29.4,3,0.8,2,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053551_1416213351482.jpg,좁쌀 15g  대추 10g  깐밤 5g  찹쌀가루 10g  물 70g  소금적당량,좁쌀 대신 찹쌀가루를 사용해도 된다.찹쌀물은 찹쌀과 물을 1:1 비율로 섞어 준비한다.,1. 좁쌀을 씻어 불린다.||2. 대추와 깐 밤을 냄비에 넣고 물 4컵을 넣고 대추가 무르도록 삶는다.||3. 삶은 대추를 손으로 주물러 대추 속살이 나오도록 한 뒤 밤과 함께 체에 거른다.||4. 좁쌀은 5배의 물을 부어 저어가면서 익힌다.||5. 3을 4에 넣어 잘 섞은 뒤 찹쌀물을 넣어 농도가 나도록 끓인다.||6. 소금으로 간을 맞추고 준비한 그릇에 담아낸다.,0,좁쌀 대추 밤 찹쌀가루 물.소금
736,돼지고기 토마토 두부볶음,볶기,반찬,157,8,10.1,9.8,294,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053552_1416213352435.jpg,돼지고기목살 30g  두부 30g  토마토 50g  생강다진것 5g  파다진것 5g  땅콩기름 5g  간장 5g  닭육수 10g  물전분 10g  소금적당량,전분을 육수에 넣어 풀어주면 음식의 향이 더 좋아진다. 고기  두부나 토마토의 모양이 으깨지지 않도록 유의하며  전체적으로 부드러운 질감을 갖고 있어야 한다.,1. 돼지고기는 깨끗이 손질한 뒤 잘게다진다.||2. 두부는 1cm 정사각형 모양으로 썬다||3. 토마토는 껍질과 씨를 제거한 뒤 두부와 같은 크기로 썬다.||4. 기름을 두른 팬에 파와 생강을 넣고 볶아 향이 나면 1을 넣고 볶은 뒤 따로 담아둔다.||5. 기름을 두른 팬에 토마토  두부  고기를 넣고 볶다가 육수를 자작하게 부은 뒤 간장  소금으로 간을 한다.||6. 소스가 졸아들면 두부를 넣고 물 전분을 넣어 소스 농도를 맞춘다.,0,돼지고기 목살 두부 토마토 생강 파 땅콩기름 간장 닭육수 물 전분 소금
737,멜론스프,기타,일품,86,21.9,1.9,0.2,22,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053554_1416213354184.jpg,멜론 110g  오렌지 30g  레몬 5g  탄산수 30g  레몬껍질 2g  전분 3g  설탕 5g[장식재료선택] 멜론 자두 생크림 민트,오렌지와 레몬껍질 부분에 향을 내는 오일주머니가 있어 진한 향을 이용하기 위해서는 껍질을 깨끗이 씻어 사용하는 것이 좋다. 오렌지와 레몬껍질은 제스터나 야채 껍질 벗기는 기구를 이용하여 잘라낼 수 있다.,1. 메론은 적당한 크기로 잘라 믹서에 간다.||2. 오렌지와 레몬은 과육만 잘라내 믹서에 각각 갈아 주스형태로 만든다.||3. 2에 탄산수  오렌지껍질  레몬껍질을 넣어 향이 우러나도록 끓인다.||4. 3에 전분을 넣어 농도를 맞춘 뒤 덩어리지지 않게 체에 걸러 차갑게 식힌다.||5. 1에 4를 넣고 잘 섞은 뒤 설탕으로 맛을 낸다.||6. 생크림을 휘핑해 올리고 자두  메론  민트로 장식한다.,0,멜론 오렌지 레몬 탄산수 레몬껍질 전분 설탕 멜론 자두 생크림 민트
738,미니버거,굽기,일품,123,8.4,10.2,5.5,226,http://www.foodsafetykorea.go.kr/uploadimg/20141117/20141117053555_1416213355495.jpg,양파다진것 3g  브로컬리다진것 3g  당근다진것 3g  바질다진것 1g  달걀 6g  쇠고기다진것 25g  돼지고기갈은것 10g  빵가루 5g  마요네즈 1g  토마토케첩 1g  미니 버거빵 12g  양상추 2g  토마토 8g  후추 적당량,양파를 기름을 두르지 않은 팬에 볶아 사용하면 물기와 매운맛을 제거해 주므로 햄버거에 넣는 양파는 볶아서 사용하기도 한다.,1. 바질과 양파  브로콜리  당근은 곱게 다진다.||2. 소고기와 돼지고기는 곱게 간다.||3. 2를 1:1 비율로 섞고 1과 달걀  케첩  후추  빵가루와 섞어 패티를 만든다.||4. 미니버거빵의 안쪽 면에 버터를 바른 후 팬에서 살짝 구워준다.||5. 3을 팬에서 갈색이 나도록 익혀준다.||6. 4에 마요네즈를 바르고 양상추  패티  케첩  토마토  양상추 순으로 올리고 마요네즈를 바른 빵으로 덮는다.,0,양파 브로콜리 당근 바질 달걀 다진 소고기 간 돼지고기 빵가루 마요네즈 케첩 미니 버거빵 양상추 토마토 후추
