index,메뉴명,조리방법,요리종류,열량,탄수화물,단백질,지방,나트륨,이미지경로,재료정보,저감조리법TIP,만드는법,감정,재료
137,연어오븐구이,볶기,일품,285.9,8.1,28.7,15.4,222.1,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00571_2.png,연어(150g)  양파(50g)  토마토(100g)  파프리카(50g)  당근(30g)  마늘(20g)  청피망(30g)  레몬(1/4개)  소금(0.3g)  후춧가루(0.01g)  생크림(20g)  화이트크림(50g)  버터(20g),연어를 레몬으로 마리네이드 하면 연어의 비릿한 맛을 감소시키고 소금 사용을 줄일 수 있어요.,"1. 연어는 소금  후춧가루  레몬으로
마리네이드 한다.||2. 양파  마늘은 입자있게 다진다.||3. 토마토는 씨를 제거하고 입자있게
썰고  파프리카  피망은 채 썬 뒤
볶는다.||4. 화이트크림  생크림을 골고루 섞어
크림소스를 만든다.||5. 팬에 버터를 넣고 양파  마늘을 볶다가
만들어 놓은 크림소스를 넣고 졸인다.||6. 접시에 볶은 야채를 담고  200℃
오븐에서 10분 정도 구운 연어를 담은
뒤 크림소스를 올린다.",0,연어 양파 토마토 파프리카 당근 마늘 청피망 레몬 소금 후추 생크림 화이트크림 버터
138,옥음밥,볶기,밥,381.2,75.9,5.9,6,341.2,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00572_2.png,옥수수콘(200g)  애호박(1/3개)  당근(20g)  양파(30g)  새송이버섯(1/2개)  마늘(10g)  라이스페이퍼(1장)  저염간장(20g)  쌀(150g)  후춧가루(0.01g)  식용유(10g),식이섬유가 풍부한 옥수수에 갖은 야채를 넣어 나트륨 배출에 도움을 줘요.,"1. 쌀은 깨끗이 씻어 30분 이상 불려 밥을
지어 식힌다.||2. 옥수수콘은 체에 걸러 물기를 뺀다.||3. 양파  애호박  당근  양파 및
새송이버섯은 옥수수콘 크기로 썰고
마늘은 다진다.||4. 팬에 기름을 두르고 야채를 먼저
볶는다.||5. 볶은 야채에 식혀놓은 밥을 넣고
볶다가 저염간장  후춧가루로 간을
하고 옥수수콘을 넣고 살짝 볶는다.||6. 팬에 기름을 자작하게 넣고 
라이스페이퍼를 둥글게 넣고 튀겨
그릇에 담은 뒤 볶음밥을 담는다",0,옥수수 애호박 당근 양파 새송이버섯 마늘 라이스페이퍼 간장 쌀 후추 식용유
139,와사비 연어초밥,기타,밥,417.6,70,18.8,6.9,76,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00573_2.png,연어(100g)  쌀(150g)  당근(20g)  표고버섯(3장)  겨자가루(10g)  새싹(10g)  파슬리(5g)  식초(10g)  설탕(20g)  소금(0.2g),초밥에 당근과 표고를 다져 넣어 향과 맛을 더해 소금 사용을 줄일 수 있어요.,"1. 연어는 끝을 뾰족하게 살려
슬라이스한다.||2. 쌀은 깨끗이 씻어 30분 이상 불려 밥을
지어 식힌다.||3. 냄비에 식초  설탕  소금 약간과 물을
동량으로 넣고 끓인 뒤 식혀 촛물을
만들어 밥에 넣고 골고루 섞는다.||4. 당근과 표고버섯은 입자있게 다져 살짝
볶아 식혀놓은 초밥에 넣고 잘
섞어준다.||5. 와사비 가루에 30℃정도의 물을 넣고
섞은 뒤 발효 시키고  초밥 형태를
만들어 그 위에 와사비를 바르고
연어를 올린 후 접시에 담는다||6. 새싹과 파슬리는 찬물에 담았다 건져
물기를 빼고  연어 초밥 옆에 올린다.",0,연어 쌀 당근 표고버섯 겨자가루 새싹 파슬리 식초 설탕 소금
140,원소병,끓이기,후식,320.6,73,6.1,0.5,47.2,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00574_2.png,찹쌀가루(200g)  치자(10g)  오미자(10g)  대추(5알)  귤병(20g)  유자청(30g)  꿀(50g)  녹말(50g)  잣(10알),5가지 맛을 내는 오미자가 들어가 소금 없이 요리를 할 수 있어요.,"1. 찹쌀가루는 체에 내려 2등분한다.||2. 찹쌀가루는 오미자와 치자를 우린
뜨거운 물로 익반죽하여 비닐봉투에
담아 숙성시킨다||3. 대추는 씨를 발라내 곱게 다지고 귤병 
유자청  꿀을 섞어 원소병 소를 만든다.||4. 굴병과 꿀을 섞어 원소병 소를
준비한다.||5. 익반죽을 지름 3cm 크기로 동그랗게
만들고 안에 소를 넣어 다시 동그랗게
만든다||6. 녹말가루를 입혀 끓는 물에 넣은 뒤
떠오르면 건져 찬물에 헹궈 물기를
빼고 그릇에 담아 꿀물을 붓고 잣을
올린다.",0,찹쌀가루 치자 오미자 대추 귤병 유자청 꿀 녹말 잣
141,음메꼬꼬돌돌,굽기,반찬,296.7,0,41.5,14.5,275.8,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00575_2.png,소고기(120g)  달걀(1개)  닭고기(가슴살  100g)  미나리(50g)  찹쌀가루(50g)  홍고추(1개)  소금(0.3g)  후춧가루(0.01g)  통후추(5알)  저염간장(20g)  설탕(20g)  식초(10g),나트륨이 적은 저염간장에 설탕과 식초를 넣어 나트륨을 더 감소시킬 수 있었어요.,"1. 소고기는 넓게 펴서 소금  후춧가루로
밑간을 하고 굽는다.||2. 닭가슴살은 소금  후춧가루로 밑간을
하여 굽고 길이대로 썬다.||3. 미나리는 끓는 물에 넣고 데쳐 찬물에
헹군다.||4. 홍고추는 씨를 제거 하고 길게 썰어
준비한다.||5. 달걀은 황백으로 나눠 지단을 부쳐
길게 썰어 놓는다||6. 밑간한 소고기와 닭살 에 찹쌀가루를
뭍혀 홍고추와 달걀 황백지단을 넣어
돌돌 말아 미나리로 띠를 둘러 팬에
기름을 살짝 둘러 익힌다.",0,소고기 달걀 닭가슴살 미나리 찹쌀가루 홍고추 소금 후추 통후추 간장 설탕 식초
142,전복리조또,끓이기,밥,282.9,53.1,7.1,4.7,92.1,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00576_2.png,쌀(100g)  전복(1개)  당근(20g)  양파(30g)  양송이버섯(3개)  우유(200g)  올리브오일(10g)  소금(0.2g)  후춧가루(0.01g)  버터(10g),천연 미네랄이 가득한 전복을 사용하면  소금을 적게 넣어도 싱겁지 않아요.,"1. 쌀은 깨끗이 씻어 30분 정도 불린다||2. 전복은 수저로 떼어 내어 소금으로
세척한다.||3. 준비된 전복에 버터를 두르고 굽는다||4. 당근. 양파 . 양송이는 입자 있게
다진다.||5. 냄비에 올리브 오일을 넣고 불린 쌀을
볶는다.||6. 쌀이 어느 정도 볶아지면 다져 놓은
야채를 넣어 볶다가 우유를 넣어
끓이고  쌀이 퍼지면 구워 놓은 전복을
넣어 다시 끓인다.",0,쌀 전복 당근 양파 양송이버섯 우유 올리브유 소금 후추 버터
143,참깨흑임 자연두부샐러드,기타,반찬,309.2,15.8,9.7,23,159.9,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00577_2.png,연두부(100g)  참깨(20g)  흑임자(20g)  파프리카(50g)  무순(10g)  날치알(20g)  설탕(20g)  식초(10g)  마요네즈(30g)  우유(30g),마요네즈에 우유를 섞으면 나트륨 함량을 줄일 수 있어요. 우유를 넣을 때에는 조금씩 저어가면서 넣어야 마요네즈가 분리되지 않아요.,"1. 참깨와 흑임자를 섞어 곱게 간다.||2. 갈아 놓은 참깨와 흑임자에 설탕과
식초를 넣고 섞는다.||3. 2번에 우유와 마요네즈를 넣고 골고루
섞어 참깨 흑임자 드레싱을 만든다.||4. 연두부는 동그랗게 자른다.||5. 파프리카는 채 썬다.||6. 접시에 드레싱  연두부  파프리카 
무순  날치알 순으로 올린다.",0,연두부 참깨 흑임자 파프리카 무순 날치알 설탕 식초 마요네즈 우유
144,초계탕,끓이기,국&찌개,103,7.1,16.2,1.1,90.1,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00578_2.png,닭고기(다리  2개)  양파(50g)  파프리카(50g)  적양배추(20g)  오이(50g)  마늘(30g)  겨자가루(20g)  대파(20g)  소금(0.3g)  설탕(20g)  식초(10g),닭 육수에 겨자를 넣어 섞으면  닭 비린맛을 제거하고 매콤한 맛과 향으로 소금 사용도 줄일 수 있어요.,"1. 냄비에 마늘과 대파를 넣고 끓이다가
닭다리를 넣고 삶는다||2. 닭을 삶아 놓은 육수는 걸러 기름을
제거 하고 차갑게 식힌다.||3. 삶아 놓은 닭고기는 결대로 찢는다.||4. 양파  오이와 파프리카는 채썬다||5. 적채는 채를 썰어 찬물에 담궈 건져
물기를 빼 놓는다.||6. 차갑게 걸러 놓은 닭 육수에 발효된
겨자와 소금 .설탕  식초를 넣어 육수
간을 하고  그릇에 닭살과 오이 적채 
파프리카 양파를 올려 차가운 육수를
넣어 완성한다.",0,닭다리살 양파 파프리카 적양배추 오이 마늘 겨자가루 대파 소금 설탕 식초
145,콩나물부추볶음,볶기,반찬,133.8,15,3.9,6.4,139.4,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00579_2.png,콩나물(150g)  부추(50g)  양파(30g)  당근(20g)  파(10g)  감자(50g)  소금(0.3g)  식용유(20g),부추의 향 때문에 소금 간을 많이 하지 않아도 맛있어요.,"1. 감자는 채를 썰어 물에 담궈 전분을
제거하고  양파와 당근 파는 채를 썬다.||2. 콩나물은 머리와 꼬리를 손질한다||3. 물이 끓으면 손질한 콩나물을 넣는다.||4. 콩나물이 익으면 체에 건져 찬물에
헹군다.||5. 부추는 약 6cm 길이로 썬다.||6. 팬에 기름을 두르고 콩나물을 넣고
살짝 볶다가 썰어 놓은 야채를 넣고
볶으면서 소금 간을 하고 마지막에
부추를 넣고",0,콩나물 부추 양파 당근 파 감자 소금 식용유
146,콩비지포카치아 샌드위치,기타,일품,271.2,36.8,12.9,8,459.2,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00580_2.png,포카치아빵(1개)  콩비지(50g)  무장아찌(20g)  토마토(50g)  생치즈(20g)  루꼴라(20g)  올리브오일(20g),무장아찌를 이용하여 비지소스를 만들어서 별도의 소금 간을 하지 않고도 나트륨을 줄일 수 있어요.,"1. 비지는 살짝 데쳐 물기를 뺀다.||2. 무장아찌는 잘게 다져 비지에 골고루
섞어 소스를 만든다.||3. 토마토는 슬라이스로 썰어 팬에 오일을
두르고 익힌다.||4. 포카치아빵은 반으로 갈라 비지소스를
바른다.||5. 생치즈는 동그랗게 원형으로 찍어 
비지를 바른 빵에 구운 토마토와 함께
올리고  다시 그 위에 비지를 올려
접시에 담는다.||6. 루꼴라는 찬물에 담궈 건져 포카치아빵
옆에 함께 놓는다",0,포카치아빵 콩비지 무장아찌 토마토 생치즈 루꼴라 올리브유
147,파프리카더덕소고기깻잎롤,굽기,반찬,230.7,16.9,28.8,5.3,97.8,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00581_2.png,소고기(살치살  120g)  파프리카(50g)  더덕(100g)  깻잎(3장)  파인애플(50g)  아스파라거스(3개)  양파(50g)  꿀(20g)  레몬(1/4개)  식초(10g)  소금(0.2g)  올리브오일(3g)  후춧가루(0.01g),더덕의 향과 파인애플의 단맛이 어우러져 소금을 조금만 사용해도 맛을 낼 수 있어요.,"1. 소고기는 후춧가루  올리브오일로
밑간을 한다.||2. 더덕은 칼로 껍질을 돌려 깎고 
파프리카  아스파라거스와 함께
가늘게 채썬다.||3. 파인애플  양파  당근  대파는 채썬다.||4. 밑간한 고기를 팬에 굽는다.||5. 따로 갈아 놓은 파인애플과 레몬즙
꿀을 섞어 드레싱을 만는다||6. 구워 놓은 고기에 더덕과 파인애플
아스파라거스 깻잎을 넣어 돌돌 말고 
팬에 발사믹 소스를 끓인 뒤 말아 놓은
소고기롤을 넣어 졸인다.",0,소고기 살치살 파프리카 더덕 깻잎 파인애플 아스파라거스 양파 꿀 레몬 식초 소금 올리브유 후추
148,해물아란치니,볶기,반찬,283.8,41,7.4,10,393.2,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00582_2.png,오징어(100g)  새우(3마리)  토마토(50g)  양파(30g)  마늘(20g)  샐러리(20g)  밥(100g)  달걀(1개)  어린잎(10g)  소금(0.2g)  레몬(1/4개)  빵가루(20g),새우와 오징어를 넣어 감칠맛이 좋고 소금을 사용하지 않는 볶음밥을 만들 수 있어요.,"1. 새우는 껍질을 벗겨 다진다.||2. 오징어는 썰어서 다진다.||3. 양파  샐러리  마늘은 다져 팬에 볶아
식힌다.||4. 토마토는 껍질을 벗겨 다진다.||5. 다진 토마토를 팬에 볶다가 다진
새우와 오징어  밥을 넣어 볶고  3번을
넣고 볶아 동그랗게 모양을 만든다||6. 동그란 밥에 레몬을 섞은 달걀노른자를
묻히고 빵가루 옷을 입혀 팬에 기름을
둘러 굴려가며 익힌 후 접시에 담고
어린잎을 올린다.",0,오징어 새우 토마토 양파 마늘 샐러리 밥 달걀 어린잎 소금 레몬 빵가루
149,호박잎삼계,찌기,반찬,314.1,53.7,16,3.9,55.9,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00583_2.png,닭고기(120g)  인삼(1뿌리)  미나리(30g)  대추(2알)  찹쌀(50g)  소금(0.2g)  후춧가루(0.01g),천천히 익히는 조리법으로 재료의 맛이 충분히 우러나 간을 조금만 해도 맛있는 요리를 만들 수 있어요.,"1. 닭고기는 넓게 펴 소금  후추로 밑간을
한다.||2. 찹쌀은 깨끗이 씻어 밥을 짓는다||3. 인삼은 뇌두를 제거 하고 깨끗이 씻어
길게 썬다.||4. 미나리는 데쳐 찬물에 헹구고  대추는
씨를 제거하고 채를 썬다.||5. 호박잎은 끓는 물에 데쳐 찬물에
식힌다.||6. 데친 호박잎에 밑간한 닭고기와
찹쌀밥을 올리고 그 위에 인삼  데친
미나리  대추를 올려 돌돌 말아 찜통에
찐 뒤 먹기 좋게 썬다.",0,닭고기 인삼 미나리 대추 찹쌀 소금 후추
150,노른자크림 육회샐러드,기타,반찬,177.4,10,25.3,4,245.6,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00584_2.png,소고기(홍두깨살  150g)  두릅(100g)  아보카도(1/2개)  배(1/4개)  마늘(20g)  달걀(1개)  레몬(1/8개)  크림치즈(20g)  설탕(20g)  소금(0.3g)  참기름(5g),크림치즈를 사용하여 나트륨 함량을 줄였어요,"1. 소고기는 홍두깨살로 준비해서
0.3mm 두께로 썰고  배는 껍질을 벗겨
채 썰어 설탕을 뿌린다.||2. 끓는 물에 소금을 넣고 두릅을 데친 후
찬물에 헹구어 건진다.||3. 소금과 설탕  다진 마늘을 넣고 소고기
육회 양념장을 만든다.||4. 삶은 달걀노른자와 크림치즈  레몬을
섞어 짤주머니에 담는다.||5. 숙성이 잘된 아보카도는 강판에 갈아
준비한다.||6. 접시에 양념한 육회와 두릅을 담고 그
위에 배를 올리고  달걀크림과
아보카도를 짜서 올린다",0,소고기 홍두깨살 두릅 아보카도 배 마늘 달걀 레몬 크림치즈 설탕 소금 참기름
151,닭고기 완자삼계죽,끓이기,일품,150.4,26.2,9.9,0.7,51.9,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00585_2.png,닭고기(1마리)  인삼(1뿌리)  찹쌀(50g)  대추(10알)  마늘(30g)  대파(30g)  양파(30g)  통후추(10알)  저염간장(10g),완자에서 우러나오는 맛으로 짠맛을 대체하여 나트륨을 줄일 수 있어요.,"1. 닭은 깨끗이 씻고 포를 뜬다.||2. 닭고기는 15분 정도 삶아 식으면 곱게
다져 다진 마늘  대파  저염간장을 넣고
완자를 만든다.||3. 인삼은 뇌두를 제거하고 깨끗이
씻는다.||4. 찹쌀은 약 30분 정도 충분히 불린다||5. 대추는 소금물에 깨끗이 씻고 씨를
제거한다.||6. 믹서에 인삼과 대추  불린 찹쌀  물을
정도 넣고 곱게 간 뒤  냄비에 담아 죽을
쑤다가 다 익으면 만들어 놓은 완자를
넣고 한소끔 더 끓인다.",0,닭고기 인삼 찹쌀 대추 마늘 대파 양파 통후추 간장
152,대하마늘볶음밥,볶기,밥,286.6,32.5,14,11.2,191.4,http://www.foodsafetykorea.go.kr/uploadimg/20230309/20230309012647_1678336007930.jpg,필수 재료 : 대하(3마리)  쌀(90g)  당근(20g)  깻잎(2장)  양파(30g)  숙주(50g)  대추(2알)  청고추(1개)  파(10g)  마늘(10g)  생강(5g)  식용유(5g) 양념 : 저염간장(5g),새우는 생강과 함께 쪄서 비린내를 잡고  새우 본연의 감칠맛으로 저염간장 사용량을 줄였어요.,1. 새우는 내장을 제거하고 껍질을 벗겨 깨끗이 씻는다.||2. 찜기에 새우와 생강을 넣어 약 5분 정도 찐다.||3. 마늘은 납작 썰고  당근과 양파  파  깻잎  청고추  대추는 굵게 다진다.||4. 숙주는 꼬리를 떼어 다듬고  끓는 물에 살짝 데친다.||5. 팬에 식용유를 두른 뒤 손질한 채소를 넣어 볶는다.||6. 밥과 새우를 넣어 볶고  저염간장을 넣어 볶아 마무리한다.,0,대하 쌀 당근 깻잎 양파 숙주 대추 청고추 파 마늘 생강 식용유 간장
153,두부 카프리제,기타,반찬,140.2,6.8,11.1,7.6,229.6,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00587_2.png,소고기(100g)  돼지고기(100g)  표고버섯(2개)  마(100g)  연근(20g)  감자(60g)  깻잎(3장)  애호박(1/3개)  마늘(20g)  두유(100g)  설탕(20g)  소금(0.2g)  저염간장(20g),발사믹소스와 파마산치즈를 이용해서 소금 사용을 줄일 수 있어요.,"1. 토마토는 깨끗이 씻어 슬라이스한다.||2. 두부는 원형틀을 이용해서 토마토와
같은 크기로 만들고 소금을 살짝 뿌린
뒤 물기를 제거한다.||3. 팬에 올리브오일을 두르고 두부를 살짝
굽는다.||4. 어린잎은 찬물에 담근다.||5. 발사믹소스에 설탕과 레몬즙을 넣고
골고루 섞어 소스를 만든다.||6. 두부와 준비한 토마토를 접시에 돌려
담고 어린잎을 위에 올린 뒤 먹기
직전에 발사믹소스와 파마산치즈를
뿌려 완성한다.",0,소고기 돼지고기 표고버섯 마 연근 감자 깻잎 애호박 마늘 두유 설탕 소금 간장
154,미역볶음밥,볶기,밥,515.2,25.5,5.85,5.43,488.5,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00217_2.png,재료 쌀(80g)  완두콩(10g)  닭고기(100g)  대추(10g)  수삼(20g) 양파(20g)  당근(10g) 양념 강황가루(3g)  맛술(15g),미역과 해산물로 짭짤한 맛을 내 소금을 적게 사용하고  들깻가루를 넣어 고소한 맛을 더했다.,"1. 쌀과 다시마를 넣고 쌀과 동량의
물을 부어 밥을 고슬고슬하게
짓는다.||2. 양파는 굵게 다지고  쪽파와 고추는
송송 썰고  오징어와 주꾸미는 먹기
좋은 크기로 썬다.||3. 달군 팬에 들기름을 두르고 다진
마늘을 볶아 향을 낸다.||4. 미역을 넣고 볶다가 손질해둔
오징어  주꾸미  새우살  양파를 넣어
볶는다.||5. 밥을 넣고 소금을 넣어 볶다가
들깻가루를 넣어 볶는다.||6. 송송 썬 쪽파와 청양고추  붉은
고추를 넣어 조금 더 볶아
마무리한다.",0,쌀 완두콩 닭고기 대추 수삼 양파 당근 강황가루 맛술
155,청국장볶음밥,볶기,밥,467.9,25.05,4.27,4.9,234.1,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00218_2.png,재료 쌀(100g)  현미(30g)  감자(30g)  고구마(15g)  양파(15g)  연근(15g) 당근(15g)  애호박(15g)  우엉(15g)  마늘(3g)  시금치(5g)  참나물(10g) 깻잎(5g)  미나리(5g) 육수 다시마(2g) 양념 생청국장(30g)  들깻가루(2g)  올리브유(10g)  들기름(8g),나트륨 함량이 적은 생청국장을 사용해 간을 맞추고 칼륨을 다량 함유한 뿌리채소와 향미채소를 사용해 향과 맛을 살리면서 나트륨 배출 효과를 높였다,"1. 쌀과 현미는 물에 깨끗이 씻어 불린
후 밥을 고슬고슬하게 짓는다.||2. 감자  고구마  우엉  양파  당근 
애호박  연근은 작게 깍둑 썰고 
마늘은 편 썬다.||3. 시금치와 참나물  깻잎은 굵게 채
썰고  미나리는 2.5㎝ 길이로 썬다.||4. 물(50g)에 다시마를 우려내 육수를
내고 청국장을 넣어 잘 푼 뒤
들깻가루를 넣고 잘 저어주며 졸여
청국장소스를 만든다.||5. 팬에 올리브유와 들기름을 두르고
양파  마늘을 약한 불에 볶다가
감자  고구마  우엉  연근  당근 
애호박을 넣고 같이 볶는다.||6. 밥과 청국장소스를 부어 80% 정도
볶다가 시금치  참나물  미나리를
넣고 한 번 더 볶고 채 썬 깻잎을
올려 마무리한다.",0,쌀 현미 감자 고구마 양파 연근 당근 애호박 우엉 마늘 시금치 참나물 깻잎 미나리 다시마 생청국장 들깻가루 올리브유 들기름
156,해물볶음밥,볶기,밥,493.2,26.9,7.28,2.99,681.9,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00219_2.png,볶음밥 쌀(100g)  아스파라거스(5g)  새송이버섯(10g)  달걀(40g) 문어(20g)  새우살(20g)  주꾸미(15g) 미나리볶음고추장 무(20g)  우엉(10g)  미나리(5g),밥에 간을 따로 하지 않아 나트륨 함량을 줄이고 해산물 본연의 맛을 살렸다. 양념장을 따로 만들어 조금씩 비벼 먹으면 나트륨 섭취를 줄일 수 있다.,"1. 쌀은 씻어서 체에 건져 1시간 이상
불린 후 동량의 물을 부어 밥을
짓는다.||2. 아스파라거스  새송이버섯은 작게
깍둑 썰고  무와 우엉  미나리는
다진다.||3. 식용유(10g)를 두른 팬을 중간 불로
달궈 달걀을 넣고 스크램블로
볶는다.||4. 문어  새우살  주꾸미는 끓는 물에
살짝 데쳐 작게 자른다.||5. 식용유(15g)를 두른 팬을 중간 불로
달궈 밥을 넣어 볶다가 문어  새우살 
주꾸미  스크램블 에그를 넣고 조금
더 볶는다.||6. 무와 우엉에 고추장과 참기름 
물(40g)을 넣고 묽게 졸인 후 불을
끄고 미나리를 넣고 섞어
미나리볶음고추장을 만들어 밥에
곁들여 마무리한다.",0,쌀 아스파라거스 새송이버섯 달걀 문어 새우 주꾸미 무 우엉 미나리 고추장
157,토마토카레 채소볶음밥,끓이기,밥,612.1,24.5,3.52,4.46,435.2,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00220_2.png,재료 감자(20g)  양파(10g)  당근(10g)  피망(5g)  닭가슴살(20g) 밥(200g)  브로콜리(10g)  방울토마토(20g)  플레인 요구르트(15g) 양념 후춧가루(0.1g)  토마토페이스트(20g)  파프리카가루(3g)  카레가루(15g),카레가루를 넣어 향미를 높이고 나트륨 함량을 낮추는 동시에 토마토를 넣어 상큼한 맛을 살리고 나트륨 배출을 도왔다.,"1. 감자  양파  당근  피망은 볶음밥에
넣을 분량은 잘게 다지고  카레에
넣을 분량은 한입 크기로 썬다.||2. 닭가슴살도 한입 크기로 잘라
후춧가루로 밑간한다.||3. 팬에 식용유(15g)를 두른 뒤 잘게
다진 감자  양파  당근  피망을 넣고
볶다가 밥을 넣고 같이 볶는다.||4. 식용유(15g)를 두른 팬에 닭고기를
먼저 볶다가 한입 크기로 썬 감자 
당근  양파  피망  브로콜리를 넣고
볶은 뒤 마지막에 방울토마토를
넣는다.||5. 토마토페이스트을 넣고 볶다가
파프리카가루를 넣어 향을 낸다.||6. 카레가루를 푼 물(300g)을 부어
끓이다가 플레인 요구르트를 넣고
농도를 맞춘 뒤 밥 위에 얹어
마무리한다.",0,감자 양파 당근 피망 닭가슴살 밥 브로콜리 방울토마토 플레인요구르트 후추 토미토페이스트 파프리카가루 카레가루
158,구운주먹밥,굽기,밥,335.1,35.43,5.79,6.84,79.4,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00221_2.png,재료 현미(100g)  톳(30g)  생김(5g)  달걀(50g) 밥 밑간 참기름(4g)  참깨(2g) 톳 무침양념 설탕(2g)  식초(2g),조미김 대신 생김을 사용해 염분 섭취를 줄였다.,"1. 현미로 밥을 지은 뒤 밥 밑간을 넣고
섞는다.||2. 톳에 톳 무침양념을 넣고 버무린다.||3. 밥에 톳을 넣고 버무린다.||4. 밥을 먹기 좋은 크기로 둥글게 뭉친
뒤 부순 생김을 골고루 묻힌다.||5. 주먹밥에 달걀물을 입힌 뒤 팬에
구워 마무리한다.",0,현미 톳 생김 달걀 참기름 참깨 설탕 식초
159,깐풍주먹밥,볶기,밥,536.3,37.6,7.15,7.44,111,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00222_2.png,재료 칵테일새우(10g)  다진 쇠고기(15g)  후춧가루(1g)  참기름(7g) 찹쌀현미밥(200g)  밀가루(30g)  파인애플(10g)  부추(10g) 소스 다진 마늘(4g)  다진 붉은 고추(7g)  다진 풋고추(7g)  식초(10g) 함초가루(10g)  설탕(15g),소금 대신 새콤한 소스로 맛을 내어 나트륨 섭취를 줄였다,"1. 칵테일새우는 잘게 다진다.||2. 다진 쇠고기에 후춧가루와
참기름(3g)으로 밑간한 후 볶는다.||3. 찹쌀현미밥에 참기름(4g)을 넣어
밑간하고 식힌 후 새우와 쇠고기를
넣어 뭉쳐준다.||4. 마늘과 고추는 볶다가 식초와
함초가루  설탕  물(30g)을 넣고 졸여
소스를 만든다.||5. 밀가루는 반죽한 뒤 얇게 밀어
삼각형으로 잘라 튀긴 후 기름을
뺀다.||6. 위에 주먹밥을 올리고 파인애플을
올린 후 소스를 곁들여 마무리한다.",0,칵테일새우 다진 소고기 후추 참기름 찹쌀현미밥 밀가루 파인애플 부추 마늘 홍고추 풋고추 식초 함초가루 설탕
160,닭봉주먹밥,굽기,밥,553.4,20.5,7.12,6.08,454.1,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00223_2.png,재료 닭봉(80g)  우유(20g)  단호박(10g)  새송이버섯(5g)  가지(15g)  주키니호박(15g) 당근(15g)  양파(10g)  시래기(20g)  치즈(20g)  밥(150g)  새싹채소(10g) 양념 후춧가루(3g)  참기름(20g)  간장(5g) 소스 레몬즙(5g)  마요네즈(12g)  꿀(5g)  부순 참깨(2g),소스에 염분이 높은 간장 대신 고소한 참깨와 상큼한 레몬즙  달콤한 꿀을 넣어 상큼하고 달콤한 맛으로 짠맛을 대체했다.,"1. 닭봉은 손질한 뒤 후춧가루를
섞은 우유에 담가두었다가 구워
준비한다.||2. 단호박  새송이버섯은 구워서
준비한다.||3. 소스를 만든다.||4. 가지  주키니호박  당근  양파 
시래기는 잘게 다진 뒤 볶는다.||5. 볶은 채소와 치즈를 참기름  간장과
함께 밥에 넣고 섞는다.||6. 구운 닭봉을 밥으로 감싼 뒤 구운
단호박  새송이버섯  새싹채소와
함께 담아 소스를 곁들여
마무리한다.",0,닭봉 우유 단호박 새송이버섯 가지 주키니호박 당근 양파 시래기 치즈 밥 새싹채소 후추 참기름 간장 레몬즙 마요네즈 꿀 참깨
